,name,year,runtime,certificate,genre,rating,url
5553,The Glass Menagerie,(1987),134 min,PG,Drama,7.2,http://www.imdb.com/title/tt0093093/
5554,Knightriders,(1981),146 min,R,"Action, Drama",6.4,http://www.imdb.com/title/tt0082622/
5555,Chained Heat,(1983),95 min,R,"Action, Crime, Drama",4.8,http://www.imdb.com/title/tt0085318/
5556,Resurrection,(1980),103 min,PG,"Drama, Fantasy",7.4,http://www.imdb.com/title/tt0081414/
5557,The Stunt Man,(1980),131 min,R,"Action, Comedy, Drama",7.2,http://www.imdb.com/title/tt0081568/
5558,Mephisto,(1981),144 min,Unrated,Drama,7.9,http://www.imdb.com/title/tt0082736/
5559,Deathstalker,(1983),80 min,R,"Adventure, Fantasy",4.4,http://www.imdb.com/title/tt0087127/
5560,The Octagon,(1980),103 min,R,"Action, Drama, Romance",5.1,http://www.imdb.com/title/tt0081259/
5561,Savannah Smiles,(1982),105 min,PG,"Comedy, Family",7.2,http://www.imdb.com/title/tt0084633/
5562,Barbarosa,(1982),90 min,PG,Western,6.5,http://www.imdb.com/title/tt0083619/
5563,Tourist Trap,(1979),90 min,PG,Horror,6.2,http://www.imdb.com/title/tt0080040/
5564,Prince of the City,(1981),167 min,R,"Crime, Drama",7.6,http://www.imdb.com/title/tt0082945/
5565,The Ninth Configuration,(1980),118 min,R,"Comedy, Drama, Horror",7.2,http://www.imdb.com/title/tt0081237/
5566,Super Fuzz,(1980),97 min,PG,"Action, Comedy, Fantasy",6.4,http://www.imdb.com/title/tt0082924/
5567,The Plague Dogs,(1982),103 min,PG-13,"Animation, Adventure, Drama",7.9,http://www.imdb.com/title/tt0084509/
5568,Eaten Alive,(1976),91 min,R,"Horror, Thriller",5.5,http://www.imdb.com/title/tt0074455/
5569,Cannonball!,(1976),93 min,PG,"Action, Comedy, Crime",5.5,http://www.imdb.com/title/tt0074279/
5570,Ode to Billy Joe,(1976),106 min,PG,Drama,6.4,http://www.imdb.com/title/tt0074995/
5571,Boss Nigger,(1975),87 min,PG,"Comedy, Western",6.9,http://www.imdb.com/title/tt0072725/
5572,Images,(1972),101 min,R,"Drama, Horror",7.3,http://www.imdb.com/title/tt0068732/
5573,The Great Waldo Pepper,(1975),107 min,PG,"Adventure, Drama",6.6,http://www.imdb.com/title/tt0073075/
5574,The Yakuza,(1974),112 min,R,"Action, Crime, Drama",7.3,http://www.imdb.com/title/tt0073918/
5575,Mr. Majestyk,(1974),103 min,PG,"Action, Crime, Drama",6.8,http://www.imdb.com/title/tt0071866/
5576,The Living Dead at Manchester Morgue,(1974),95 min,R,Horror,6.9,http://www.imdb.com/title/tt0071431/
5577,It's Alive,(1974),91 min,PG,Horror,5.8,http://www.imdb.com/title/tt0071675/
5578,Phase IV,(1974),84 min,PG,"Horror, Sci-Fi, Thriller",6.6,http://www.imdb.com/title/tt0070531/
5579,Stardust,(1974),111 min,R,"Drama, Music",6.7,http://www.imdb.com/title/tt0072201/
5580,The Front,(1976),95 min,PG,"Comedy, Drama",7.4,http://www.imdb.com/title/tt0074554/
5581,Lipstick,(1976),89 min,R,"Crime, Drama, Thriller",5.3,http://www.imdb.com/title/tt0074802/
5582,The Slipper and the Rose: The Story of Cinderella,(1976),127 min,G,"Adventure, Family, Fantasy",7.1,http://www.imdb.com/title/tt0075232/
5583,The Other Side of Midnight,(1977),165 min,R,"Drama, Romance, Thriller",6.1,http://www.imdb.com/title/tt0076507/
5584,The Island of Dr. Moreau,(1977),99 min,PG,"Adventure, Fantasy, Horror",5.9,http://www.imdb.com/title/tt0076210/
5585,Rollercoaster,(1977),119 min,PG,"Action, Crime, Drama",6.2,http://www.imdb.com/title/tt0076636/
5586,An Unmarried Woman,(1978),124 min,R,"Comedy, Drama, Romance",7.2,http://www.imdb.com/title/tt0078444/
5587,Blue Collar,(1978),114 min,R,"Crime, Drama",7.6,http://www.imdb.com/title/tt0077248/
5588,The Boys in Company C,(1978),125 min,R,"Drama, War",7,http://www.imdb.com/title/tt0077270/
5589,The Big Sleep,(1978),99 min,R,"Crime, Drama, Mystery",5.9,http://www.imdb.com/title/tt0077234/
5590,Continental Divide,(1981),103 min,PG,"Comedy, Romance",6.2,http://www.imdb.com/title/tt0082200/
5591,The Border,(1982),108 min,R,"Crime, Drama",6.4,http://www.imdb.com/title/tt0083678/
5592,L'innocente,(1976),112 min,R,"Drama, Romance",7.5,http://www.imdb.com/title/tt0074686/
5593,The Last Wave,(1977),106 min,PG,"Drama, Fantasy, Mystery",7.2,http://www.imdb.com/title/tt0076299/
5594,Corvette Summer,(1978),105 min,PG,"Adventure, Comedy",5.5,http://www.imdb.com/title/tt0077372/
5595,The Swarm,(1978),116 min,PG,"Horror, Thriller",4.4,http://www.imdb.com/title/tt0078350/
5596,Escape to Athena,(1979),125 min,PG,"Action, Adventure, Comedy",5.7,http://www.imdb.com/title/tt0079117/
5597,Hanover Street,(1979),109 min,PG,"Action, Adventure, Drama",6.1,http://www.imdb.com/title/tt0079268/
5598,Yanks,(1979),138 min,R,"Drama, War",6.4,http://www.imdb.com/title/tt0080157/
5599,The Apple Dumpling Gang Rides Again,(1979),88 min,G,"Family, Comedy, Western",6,http://www.imdb.com/title/tt0078790/
5600,Silent Rage,(1982),103 min,R,"Action, Crime, Horror",5.5,http://www.imdb.com/title/tt0084684/
5601,Young Doctors in Love,(1982),96 min,R,Comedy,5.2,http://www.imdb.com/title/tt0084938/
5602,Curse of the Pink Panther,(1983),109 min,PG,"Comedy, Crime, Mystery",4.3,http://www.imdb.com/title/tt0085384/
